,P_degree
1663,33
1664,74
1665,95
1666,104
1667,52
1668,56
1669,56
1670,108
1671,42
1672,81
1673,63
1674,76
1675,97
1676,92
1677,56
1678,65
1679,87
1680,41
1681,81
1682,82
1683,85
1684,92
1685,56
1686,83
1687,104
1688,59
1689,63
1690,56
1691,53
1692,70
1693,64
1694,26
1695,92
1696,99
1697,48
1698,105
1699,50
1700,40
1701,7
1702,65
1703,96
1704,20
1705,66
1706,80
1707,60
1708,38
1709,55
1710,47
1711,27
1712,75
1713,58
1714,79
1715,46
1716,58
1717,55
1718,113
1719,30
1720,48
1721,20
1722,86
1723,96
1724,39
1725,56
1726,56
1727,92
1728,60
1729,62
1730,79
1731,99
1732,75
1733,90
1734,93
1735,80
1736,92
1737,78
1738,61
1739,65
1740,101
1741,74
1742,95
1743,52
1744,94
1745,85
1746,72
1747,56
1748,71
1749,77
1750,69
1751,43
1752,75
1753,87
1754,90
1755,96
1756,74
1757,71
1758,63
1759,30
1760,125
1761,35
1762,43
1763,72
1764,60
1765,115
1766,68
1767,68
1768,60
1769,42
1770,71
1771,101
1772,76
1773,66
1774,83
1775,82
1776,56
1777,55
1778,54
1779,108
1780,102
1781,65
1782,81
1783,47
1784,10
1785,157
1786,39
1787,47
1788,61
1789,88
1790,33
1791,34
1792,62
1793,55
1794,59
1795,64
1796,28
1797,88
1798,76
1799,79
1800,94
1801,47
1802,127
1803,71
1804,54
1805,36
1806,51
1807,74
1808,115
1809,14
1810,45
1811,58
1812,23
1813,23
1814,19
1815,25
1816,28
1817,24
1818,5
1819,0
1820,23
1821,19
1822,25
1823,23
1824,24
1825,23
1826,23
1827,26
